Name,University Seat Number,Year of Joining,Course,Degree,Department,Class Teacher,Elective Opted,Phone Number,Parent's Number,Accommodation,AMC College Email,Additional Info
Ishita Gupta,1AM21me005,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,3D Printing,9677792009,9854142555,Hostel,ishita.gupta@students.amc.edu,Sports Quota
Ananya Joshi,1AM21me006,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Robotics,9688466671,9878147479,Day Scholar,ananya.joshi@students.amc.edu,Scholarship Holder
Priya Joshi,1AM21me007,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Robotics,9555120507,9559270104,Day Scholar,priya.joshi@students.amc.edu,Member of coding club
Neha Sharma,1AM21me008,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Robotics,9693928430,9940582163,Hostel,neha.sharma@students.amc.edu,Sports Quota
Meera Gupta,1AM21me009,2021,Mechanical Engineering,B.E,Mechanical,Prof. Swathi Rao,Automobile Engg,9593206191,9360727056,Day Scholar,meera.gupta@students.amc.edu,Scholarship Holder
Harsh Gupta,1AM21me010,2021,Mechanical Engineering,B.E,Mechanical,Prof. Swathi Rao,3D Printing,9507038036,9209097171,Day Scholar,harsh.gupta@students.amc.edu,Placed
Rohan Rao,1AM21me011,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Automobile Engg,9742575779,9451834604,Hostel,rohan.rao@students.amc.edu,Placed
Kavya Nair,1AM21me012,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,3D Printing,9899566282,9614353564,Day Scholar,kavya.nair@students.amc.edu,Placed
Aman Gupta,1AM21me013,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Robotics,9295886030,9514138343,Day Scholar,aman.gupta@students.amc.edu,Internship ongoing
Arjun Patil,1AM21me014,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Robotics,9386952673,9329055514,Hostel,arjun.patil@students.amc.edu,Scholarship Holder
Rohan Joshi,1AM21me015,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,Robotics,9904562746,9635694807,Hostel,rohan.joshi@students.amc.edu,Scholarship Holder
Aman Menon,1AM21me016,2021,Mechanical Engineering,B.E,Mechanical,Prof. Swathi Rao,3D Printing,9303194105,9868165507,Day Scholar,aman.menon@students.amc.edu,Internship ongoing
Ravi Iyer,1AM21me017,2021,Mechanical Engineering,B.E,Mechanical,Prof. Swathi Rao,Automobile Engg,9225863700,9909338148,Hostel,ravi.iyer@students.amc.edu,Sports Quota
Pooja Kapoor,1AM21me018,2021,Mechanical Engineering,B.E,Mechanical,Prof. Swathi Rao,Automobile Engg,9507129146,9578112814,Hostel,pooja.kapoor@students.amc.edu,Internship ongoing
Sneha Nair,1AM21me019,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,3D Printing,9229462603,9946568130,Day Scholar,sneha.nair@students.amc.edu,Scholarship Holder
Sneha Iyer,1AM21me020,2021,Mechanical Engineering,B.E,Mechanical,Prof. Ramesh Shetty,3D Printing,9612461894,9415776360,Hostel,sneha.iyer@students.amc.edu,Sports Quota
